id_viaje,linea,origen,destino,horario_salida,horario_llegada,pasajeros
55,Roca,La Plata,Ezeiza,13:15,13:57,493
56,Mitre,Retiro,Tigre,10:30,12:03,203
57,Mitre,Victoria,Tigre,13:15,15:01,703
58,Sarmiento,Castelar,Once,18:00,19:36,689
59,San Martín,Pilar,San Miguel,22:30,22:55,769
60,Roca,Temperley,Constitución,20:45,21:57,465
61,San Martín,San Miguel,Pilar,20:30,22:07,130
62,Roca,Temperley,Constitución,17:30,19:21,273
63,Belgrano Sur,González Catán,Buenos Aires,15:30,16:10,392
64,Mitre,Belgrano,Retiro,04:15,05:38,271
65,San Martín,San Miguel,Retiro,15:30,16:16,578
66,Belgrano Sur,Marinos del Crucero,González Catán,11:00,12:17,197
67,Belgrano Sur,Buenos Aires,González Catán,16:00,16:43,570
68,San Martín,Retiro,Pilar,05:15,06:20,368
69,San Martín,Pilar,San Miguel,11:45,12:34,662
70,Mitre,Tigre,Belgrano,16:45,18:04,314
71,Belgrano Sur,Buenos Aires,González Catán,16:00,17:27,295
72,Belgrano Sur,Marinos del Crucero,González Catán,06:00,07:54,462
73,Roca,Constitución,Temperley,04:45,06:45,704
74,Sarmiento,Castelar,Once,15:45,16:51,693
75,Belgrano Sur,González Catán,Buenos Aires,13:00,14:43,187
76,Mitre,Belgrano,Tigre,04:45,05:08,576
77,San Martín,San Miguel,Retiro,20:00,21:13,359
78,Mitre,Retiro,Victoria,11:45,12:59,546
79,San Martín,Retiro,San Miguel,09:30,09:52,203
80,Sarmiento,Moreno,Merlo,19:15,19:49,420
81,Mitre,Belgrano,Retiro,11:45,13:29,799
82,Sarmiento,Once,Moreno,07:45,08:49,401
83,San Martín,Pilar,San Miguel,18:15,20:09,671
84,Roca,Constitución,Ezeiza,18:45,19:44,742
85,San Martín,José C. Paz,Retiro,20:45,22:27,104
86,Mitre,Belgrano,Retiro,13:30,15:26,284
87,Mitre,Belgrano,Victoria,19:45,20:57,225
88,San Martín,Pilar,José C. Paz,22:45,00:33,231
89,Mitre,Victoria,Belgrano,14:00,14:27,720
90,Sarmiento,Once,Merlo,13:15,13:42,780
91,Roca,La Plata,Constitución,20:45,22:07,599
92,Roca,Ezeiza,Temperley,19:15,20:47,469
93,Sarmiento,Moreno,Once,13:45,15:12,496
94,Belgrano Sur,González Catán,Buenos Aires,18:45,20:36,112
95,San Martín,Pilar,José C. Paz,05:30,07:16,431
96,Sarmiento,Moreno,Merlo,21:45,22:08,568
97,Sarmiento,Moreno,Castelar,13:30,14:59,760
98,San Martín,San Miguel,Pilar,12:00,12:38,498
99,Mitre,Victoria,Belgrano,16:45,18:15,151
100,Roca,La Plata,Temperley,19:45,20:29,365
101,Sarmiento,Merlo,Once,11:30,13:06,245
102,Mitre,Belgrano,Retiro,20:30,21:25,712
103,San Martín,Retiro,San Miguel,17:30,18:55,212
104,Mitre,Victoria,Belgrano,15:00,16:53,795
105,Belgrano Sur,Marinos del Crucero,González Catán,16:00,17:38,676
106,Sarmiento,Once,Moreno,19:00,19:24,530
107,Roca,La Plata,Temperley,16:15,17:42,583
108,Mitre,Retiro,Victoria,17:30,19:20,445
109,Belgrano Sur,González Catán,Marinos del Crucero,18:15,19:13,417
110,Roca,La Plata,Ezeiza,09:00,10:27,615
111,Mitre,Victoria,Belgrano,06:00,07:49,559
112,Sarmiento,Castelar,Once,08:45,09:44,729
113,Mitre,Belgrano,Victoria,21:00,22:48,659
114,San Martín,José C. Paz,San Miguel,15:00,16:48,796
115,Belgrano Sur,González Catán,Marinos del Crucero,15:45,17:36,420
116,Mitre,Retiro,Victoria,04:00,04:57,721
117,Sarmiento,Once,Moreno,21:45,23:09,294
118,Sarmiento,Moreno,Merlo,04:15,05:51,298
119,Sarmiento,Castelar,Moreno,22:30,23:48,206
120,Roca,La Plata,Ezeiza,05:30,06:10,346
121,Sarmiento,Once,Merlo,04:00,04:56,444
122,Mitre,Retiro,Tigre,19:00,20:42,225
123,Sarmiento,Once,Merlo,19:00,21:00,747
124,Sarmiento,Castelar,Once,22:30,23:19,229
125,Belgrano Sur,González Catán,Buenos Aires,10:45,12:32,679
126,Roca,Temperley,Ezeiza,04:45,05:53,576
127,Sarmiento,Once,Moreno,20:45,21:47,526
128,Belgrano Sur,Buenos Aires,Marinos del Crucero,08:30,09:00,364
129,San Martín,Pilar,José C. Paz,15:00,15:47,447
130,San Martín,Retiro,Pilar,12:15,14:05,750
131,Belgrano Sur,González Catán,Marinos del Crucero,09:15,11:10,532
132,Mitre,Victoria,Tigre,17:45,19:39,265
133,San Martín,Retiro,San Miguel,12:15,13:18,472
134,Sarmiento,Merlo,Once,22:30,00:05,754
135,Belgrano Sur,Buenos Aires,Marinos del Crucero,15:45,16:36,599
136,Belgrano Sur,Buenos Aires,Marinos del Crucero,05:00,05:49,114
137,Sarmiento,Moreno,Once,20:30,21:35,609
138,Sarmiento,Merlo,Once,17:15,17:51,498
139,San Martín,José C. Paz,Pilar,15:30,16:46,692
140,Mitre,Belgrano,Tigre,22:15,23:01,166
141,Mitre,Victoria,Belgrano,20:15,21:19,594
142,Belgrano Sur,González Catán,Buenos Aires,16:15,17:20,207
143,Sarmiento,Moreno,Castelar,12:30,13:48,429
144,Belgrano Sur,Marinos del Crucero,González Catán,11:30,13:13,768
145,Sarmiento,Once,Merlo,07:30,07:57,494
146,San Martín,Retiro,Pilar,08:45,10:36,261
147,Sarmiento,Moreno,Once,22:15,22:47,350
148,Belgrano Sur,Marinos del Crucero,Buenos Aires,16:30,17:40,240
149,Sarmiento,Once,Moreno,21:00,22:29,651
150,San Martín,Retiro,San Miguel,08:45,09:44,228
151,Belgrano Sur,Buenos Aires,González Catán,20:45,22:05,228
152,San Martín,José C. Paz,San Miguel,16:00,17:32,551
153,Mitre,Belgrano,Victoria,19:45,20:32,236
154,Mitre,Victoria,Tigre,21:00,22:07,717
155,Mitre,Tigre,Belgrano,09:45,10:24,251
156,Sarmiento,Moreno,Once,11:00,12:22,158
157,Roca,Constitución,La Plata,04:30,05:36,510
158,Sarmiento,Once,Moreno,07:15,08:42,283
159,Mitre,Victoria,Tigre,05:00,06:14,741
160,San Martín,Retiro,San Miguel,10:15,10:54,301
161,Mitre,Belgrano,Retiro,19:30,20:04,691
162,Belgrano Sur,Marinos del Crucero,González Catán,17:00,18:19,383
163,Sarmiento,Castelar,Moreno,09:45,11:35,573
164,Mitre,Tigre,Belgrano,11:00,12:05,679
165,Roca,Constitución,Temperley,22:15,23:24,418
166,Belgrano Sur,Buenos Aires,Marinos del Crucero,19:00,19:21,546
167,Roca,Constitución,La Plata,19:00,20:12,462
168,Sarmiento,Moreno,Merlo,19:00,19:39,495
169,San Martín,San Miguel,José C. Paz,17:15,18:45,458
170,Belgrano Sur,Buenos Aires,Marinos del Crucero,12:30,13:00,475
171,Sarmiento,Merlo,Moreno,21:00,22:51,161
172,Sarmiento,Once,Merlo,14:00,15:23,132
173,Belgrano Sur,Marinos del Crucero,Buenos Aires,11:00,12:44,757
174,Sarmiento,Moreno,Merlo,05:30,06:40,557
175,Belgrano Sur,Marinos del Crucero,González Catán,14:30,16:13,434
176,Belgrano Sur,González Catán,Marinos del Crucero,07:45,08:41,697
177,Mitre,Victoria,Belgrano,06:30,07:44,266
178,Roca,Constitución,Ezeiza,09:45,10:41,393
179,Mitre,Belgrano,Tigre,14:30,14:53,689
180,Sarmiento,Once,Merlo,06:45,08:14,132
181,San Martín,Retiro,Pilar,06:30,06:51,679
182,San Martín,Retiro,San Miguel,12:30,13:46,622
183,San Martín,Retiro,San Miguel,06:00,07:24,265
184,Mitre,Victoria,Retiro,15:30,16:16,276
185,Sarmiento,Once,Merlo,19:30,20:41,301
186,Mitre,Belgrano,Retiro,14:15,14:59,522
187,Belgrano Sur,Marinos del Crucero,González Catán,08:45,09:07,652
188,San Martín,Retiro,Pilar,20:45,22:38,240
189,Sarmiento,Once,Moreno,06:45,08:06,727
190,Belgrano Sur,González Catán,Marinos del Crucero,17:15,18:18,421
191,Roca,La Plata,Ezeiza,07:30,09:30,357
192,Roca,Constitución,La Plata,06:30,07:22,619
193,Sarmiento,Moreno,Castelar,08:15,10:04,707
194,Roca,Temperley,Ezeiza,17:00,18:44,618
195,Sarmiento,Castelar,Moreno,09:30,11:04,615
196,Belgrano Sur,Marinos del Crucero,Buenos Aires,11:15,12:33,184
197,Roca,Ezeiza,Constitución,06:15,07:50,450
198,Roca,La Plata,Constitución,21:30,22:13,744
199,San Martín,Pilar,Retiro,14:15,16:14,499
200,Mitre,Victoria,Belgrano,07:15,08:40,206
201,Roca,Ezeiza,Constitución,19:45,20:55,691
202,Mitre,Victoria,Retiro,09:00,10:12,278
203,San Martín,Pilar,José C. Paz,18:00,19:54,229
204,Mitre,Tigre,Retiro,13:45,14:24,221
205,San Martín,José C. Paz,Retiro,05:30,05:50,715
206,Roca,La Plata,Constitución,10:15,11:27,595
207,Sarmiento,Castelar,Once,13:45,15:27,198
208,Belgrano Sur,Marinos del Crucero,Buenos Aires,13:30,15:12,341
209,Belgrano Sur,González Catán,Marinos del Crucero,13:15,13:35,698
210,Mitre,Tigre,Victoria,06:45,07:42,581
211,Mitre,Tigre,Belgrano,17:30,19:20,155
212,Mitre,Victoria,Retiro,18:45,20:06,636
213,San Martín,San Miguel,Retiro,22:15,23:25,378
214,San Martín,Retiro,José C. Paz,12:45,13:15,588
215,Sarmiento,Castelar,Merlo,11:00,12:51,327
216,Belgrano Sur,González Catán,Buenos Aires,11:15,12:17,669
217,Belgrano Sur,González Catán,Buenos Aires,16:00,16:24,426
218,Mitre,Retiro,Tigre,07:00,08:19,218
219,Sarmiento,Once,Castelar,06:00,06:32,442
220,Sarmiento,Castelar,Merlo,16:30,18:07,709
221,San Martín,Pilar,José C. Paz,20:15,21:18,165
222,San Martín,Pilar,Retiro,10:45,11:33,599
223,Roca,Constitución,Temperley,20:15,21:20,586
224,San Martín,José C. Paz,Retiro,08:30,09:23,618
225,Sarmiento,Merlo,Moreno,19:30,20:32,265
226,Mitre,Retiro,Victoria,18:45,19:59,270
227,San Martín,Pilar,San Miguel,13:00,13:28,593
228,Mitre,Victoria,Tigre,10:30,11:19,631
229,Belgrano Sur,González Catán,Buenos Aires,21:30,23:17,494
230,San Martín,Retiro,Pilar,15:45,16:47,726
231,Roca,Temperley,La Plata,22:00,23:44,169
232,Mitre,Victoria,Retiro,15:15,16:40,504
233,Mitre,Belgrano,Retiro,13:15,13:43,758
234,Sarmiento,Once,Castelar,12:00,13:37,464
235,San Martín,San Miguel,José C. Paz,22:00,23:52,545
236,Belgrano Sur,González Catán,Buenos Aires,05:00,05:25,282
237,Mitre,Retiro,Belgrano,17:45,19:16,125
238,San Martín,Pilar,Retiro,09:15,11:15,131
239,San Martín,José C. Paz,San Miguel,12:45,14:01,356
240,Roca,Constitución,La Plata,06:45,08:20,382
241,Belgrano Sur,Marinos del Crucero,González Catán,20:45,21:14,298
242,Mitre,Retiro,Belgrano,11:30,13:10,138
243,San Martín,José C. Paz,Pilar,07:15,08:30,156
244,Roca,Constitución,Temperley,17:45,18:34,159
245,Mitre,Belgrano,Retiro,06:15,06:45,116
246,Mitre,Victoria,Belgrano,13:30,15:05,264
247,San Martín,Pilar,José C. Paz,18:45,19:21,387
248,San Martín,Pilar,Retiro,07:30,08:26,678
249,Mitre,Belgrano,Victoria,10:45,12:37,796
250,Sarmiento,Once,Merlo,09:30,11:16,114
251,Sarmiento,Once,Castelar,11:45,12:50,399
252,San Martín,Pilar,José C. Paz,14:30,14:52,387
253,Belgrano Sur,González Catán,Buenos Aires,11:30,12:41,143
254,Belgrano Sur,Marinos del Crucero,Buenos Aires,04:15,05:34,385
255,Mitre,Tigre,Victoria,04:15,05:51,270
256,Sarmiento,Once,Castelar,17:30,18:51,332
257,Mitre,Retiro,Tigre,09:45,11:40,772
258,Mitre,Retiro,Belgrano,19:00,20:33,251
259,Sarmiento,Castelar,Merlo,18:15,20:10,505
260,Sarmiento,Merlo,Moreno,19:30,20:40,130
261,Sarmiento,Castelar,Merlo,13:15,14:34,129
262,Mitre,Victoria,Tigre,13:15,14:48,378
263,Sarmiento,Moreno,Once,14:30,16:25,301
264,San Martín,San Miguel,Retiro,20:00,20:46,624
265,Mitre,Belgrano,Retiro,17:00,17:42,612
266,Mitre,Belgrano,Retiro,12:00,13:56,345
267,San Martín,San Miguel,José C. Paz,10:45,12:03,553
268,San Martín,San Miguel,Retiro,13:15,13:52,524
269,Mitre,Belgrano,Retiro,10:45,11:58,656
270,Roca,Ezeiza,La Plata,14:00,15:43,360
271,Belgrano Sur,Buenos Aires,González Catán,20:30,21:37,518
272,Mitre,Retiro,Victoria,06:00,06:57,366
273,Belgrano Sur,Marinos del Crucero,González Catán,04:00,05:49,739
274,Roca,Constitución,La Plata,20:00,20:53,360
275,Sarmiento,Once,Castelar,11:30,12:35,235
276,Roca,Ezeiza,La Plata,06:45,08:09,379
277,Mitre,Retiro,Belgrano,08:45,10:15,664
278,Roca,La Plata,Constitución,04:45,06:34,576
279,Belgrano Sur,González Catán,Buenos Aires,17:45,19:16,479
280,Roca,La Plata,Temperley,20:30,20:51,507
281,Sarmiento,Castelar,Once,20:45,21:59,446
282,Belgrano Sur,Marinos del Crucero,González Catán,20:00,21:13,464
283,Belgrano Sur,González Catán,Marinos del Crucero,20:30,21:39,181
284,Sarmiento,Once,Castelar,08:45,09:15,598
285,San Martín,Retiro,José C. Paz,21:00,22:16,754
286,Belgrano Sur,Buenos Aires,Marinos del Crucero,21:00,21:44,746
287,Mitre,Retiro,Belgrano,07:30,08:58,120
288,San Martín,San Miguel,Retiro,20:45,22:45,711
289,Roca,Ezeiza,Constitución,14:30,16:26,542
290,Sarmiento,Moreno,Merlo,19:00,19:49,751
291,San Martín,Pilar,Retiro,10:45,12:40,410
292,Sarmiento,Merlo,Castelar,18:15,19:37,507
293,San Martín,San Miguel,Pilar,22:00,23:06,306
294,Sarmiento,Once,Moreno,09:30,09:54,128
295,Roca,La Plata,Temperley,22:15,23:22,599
296,Sarmiento,Merlo,Moreno,05:30,06:25,656
297,Mitre,Victoria,Belgrano,17:00,17:35,137
298,Sarmiento,Castelar,Moreno,07:00,07:40,602
299,Belgrano Sur,González Catán,Buenos Aires,10:00,11:07,639
300,Belgrano Sur,Marinos del Crucero,Buenos Aires,08:45,10:40,730
301,Roca,Ezeiza,Temperley,18:00,18:34,783
302,Roca,Ezeiza,La Plata,10:00,11:06,615
303,Mitre,Tigre,Victoria,10:00,10:24,172
304,San Martín,Pilar,José C. Paz,15:30,16:04,493
305,San Martín,Retiro,San Miguel,10:45,12:27,766
306,Mitre,Victoria,Retiro,06:15,07:38,406
307,San Martín,Pilar,San Miguel,10:30,11:42,387
308,Belgrano Sur,Buenos Aires,González Catán,14:30,15:39,111
309,Sarmiento,Moreno,Once,13:15,14:31,143
310,San Martín,Retiro,Pilar,15:45,17:15,213
311,Sarmiento,Once,Moreno,10:15,11:20,587
312,Roca,Constitución,Ezeiza,04:30,06:10,599
313,Sarmiento,Moreno,Once,18:15,20:02,250
314,San Martín,José C. Paz,Pilar,11:45,13:04,670
315,Roca,Temperley,Ezeiza,09:15,10:03,210
316,Mitre,Victoria,Tigre,18:15,19:36,363
317,Sarmiento,Merlo,Castelar,21:45,22:24,121
318,Belgrano Sur,González Catán,Buenos Aires,05:30,06:01,197
319,Sarmiento,Once,Merlo,14:00,15:58,514
320,Sarmiento,Moreno,Castelar,17:45,19:24,440
321,Belgrano Sur,Buenos Aires,Marinos del Crucero,06:00,07:15,168
322,San Martín,Retiro,Pilar,09:15,10:04,554
323,Mitre,Tigre,Victoria,04:45,05:48,210
324,San Martín,José C. Paz,San Miguel,22:45,00:22,745
325,Roca,Constitución,Temperley,10:00,10:49,790
326,Mitre,Tigre,Retiro,14:45,15:21,555
327,Mitre,Retiro,Tigre,11:45,12:40,181
328,Sarmiento,Castelar,Merlo,14:00,14:31,710
329,Belgrano Sur,González Catán,Marinos del Crucero,20:00,21:06,200
330,Mitre,Victoria,Tigre,22:15,23:44,534
331,Sarmiento,Castelar,Once,11:45,12:55,103
332,Belgrano Sur,González Catán,Marinos del Crucero,05:45,06:45,214
333,Belgrano Sur,Marinos del Crucero,Buenos Aires,10:15,12:10,648
334,San Martín,Pilar,San Miguel,22:15,22:54,175
335,Sarmiento,Merlo,Moreno,22:45,23:05,483
336,Mitre,Tigre,Belgrano,13:15,14:11,652
337,Mitre,Belgrano,Retiro,07:30,08:25,481
338,Belgrano Sur,Buenos Aires,Marinos del Crucero,12:15,13:11,538
339,Belgrano Sur,González Catán,Buenos Aires,05:00,05:46,566
340,San Martín,Retiro,Pilar,20:45,22:44,612
341,Roca,La Plata,Constitución,16:45,18:10,760
342,Roca,La Plata,Ezeiza,21:00,22:29,204
343,Belgrano Sur,Buenos Aires,Marinos del Crucero,12:45,13:45,330
344,San Martín,Pilar,Retiro,09:00,10:43,522
345,Roca,Constitución,Ezeiza,06:00,07:24,744
346,Sarmiento,Castelar,Merlo,11:30,12:19,226
347,Belgrano Sur,Marinos del Crucero,González Catán,16:00,17:37,221
348,Belgrano Sur,González Catán,Buenos Aires,12:30,12:57,546
349,Sarmiento,Once,Merlo,08:00,08:34,379
350,Belgrano Sur,Buenos Aires,González Catán,08:00,08:42,618
351,Roca,Temperley,La Plata,04:45,05:35,376
352,Roca,La Plata,Ezeiza,05:00,05:57,487
353,San Martín,Retiro,José C. Paz,11:15,12:10,780
354,Roca,Ezeiza,La Plata,06:45,07:31,465
355,Belgrano Sur,Marinos del Crucero,González Catán,20:00,21:18,786
356,San Martín,José C. Paz,Pilar,21:30,23:30,665
357,San Martín,José C. Paz,San Miguel,09:45,11:33,127
358,Mitre,Tigre,Retiro,22:00,23:56,478
359,Mitre,Belgrano,Retiro,22:45,23:42,779
360,Sarmiento,Once,Castelar,07:00,08:36,446
361,Roca,Ezeiza,Temperley,17:45,18:16,216
362,San Martín,Retiro,José C. Paz,15:45,16:06,663
363,Mitre,Belgrano,Victoria,04:15,05:45,277
364,Mitre,Victoria,Tigre,16:00,16:27,793
365,Roca,La Plata,Constitución,18:00,18:30,737
366,San Martín,San Miguel,Pilar,14:00,15:33,384
367,Belgrano Sur,Buenos Aires,González Catán,16:30,17:06,158
368,Belgrano Sur,González Catán,Marinos del Crucero,17:15,18:09,283
369,Sarmiento,Merlo,Moreno,21:45,23:42,615
370,Mitre,Victoria,Belgrano,12:30,12:58,103
371,Mitre,Victoria,Belgrano,16:00,16:26,764
372,Belgrano Sur,Marinos del Crucero,González Catán,06:00,07:50,586
373,Belgrano Sur,González Catán,Marinos del Crucero,06:45,07:11,443
374,Sarmiento,Once,Castelar,06:15,06:43,749
375,Belgrano Sur,Buenos Aires,Marinos del Crucero,07:45,09:40,593
376,Roca,La Plata,Temperley,06:15,07:26,386
377,Roca,Constitución,La Plata,11:30,12:46,615
378,Mitre,Tigre,Belgrano,15:45,16:55,550
379,Mitre,Belgrano,Retiro,20:30,22:24,739
380,Roca,La Plata,Ezeiza,20:30,21:06,761
381,Mitre,Tigre,Retiro,13:30,14:48,622
382,Belgrano Sur,Marinos del Crucero,Buenos Aires,04:45,06:03,730
383,Mitre,Belgrano,Victoria,18:00,19:34,439
384,Belgrano Sur,Marinos del Crucero,González Catán,14:00,15:05,266
385,Mitre,Victoria,Belgrano,09:30,10:13,589
386,Mitre,Belgrano,Victoria,17:30,18:26,281
387,Mitre,Victoria,Tigre,16:15,17:07,193
388,San Martín,San Miguel,José C. Paz,17:30,18:32,506
389,Sarmiento,Castelar,Moreno,17:30,19:28,718
390,San Martín,Retiro,José C. Paz,07:00,07:31,741
391,Mitre,Victoria,Retiro,11:45,13:29,220
392,Mitre,Victoria,Tigre,04:00,05:19,324
393,San Martín,José C. Paz,Retiro,20:15,21:41,730
394,San Martín,José C. Paz,Retiro,22:00,22:53,387
395,San Martín,Retiro,José C. Paz,22:00,23:51,695
396,Sarmiento,Moreno,Castelar,14:00,15:13,222
397,Sarmiento,Once,Merlo,04:00,05:29,227
398,Belgrano Sur,Buenos Aires,Marinos del Crucero,22:00,23:12,217
399,Belgrano Sur,González Catán,Marinos del Crucero,12:45,13:45,139
400,Belgrano Sur,Buenos Aires,González Catán,21:00,22:26,226
401,Belgrano Sur,Buenos Aires,Marinos del Crucero,10:15,12:05,569
402,San Martín,Pilar,Retiro,09:45,10:35,300
403,Mitre,Tigre,Retiro,21:45,22:10,414
404,Roca,Constitución,Temperley,17:00,18:08,336
405,Belgrano Sur,Buenos Aires,Marinos del Crucero,09:45,10:15,133
406,Mitre,Belgrano,Victoria,14:00,14:24,755
407,Belgrano Sur,Buenos Aires,González Catán,07:45,08:50,787
408,San Martín,Pilar,José C. Paz,07:30,09:28,249
409,Mitre,Tigre,Victoria,18:00,19:19,512
410,Roca,La Plata,Ezeiza,16:30,17:03,795
411,Mitre,Belgrano,Retiro,17:30,18:37,600
412,Sarmiento,Merlo,Castelar,09:15,10:13,329
413,Mitre,Victoria,Belgrano,07:45,08:40,648
414,Mitre,Tigre,Retiro,19:45,21:40,795
415,Roca,Constitución,La Plata,16:00,17:38,406
416,San Martín,Pilar,Retiro,09:15,10:47,583
417,Sarmiento,Merlo,Castelar,07:30,08:50,467
418,Sarmiento,Castelar,Moreno,22:30,23:54,140
419,San Martín,Pilar,Retiro,17:30,18:17,740
420,San Martín,San Miguel,Pilar,16:00,17:58,703
421,San Martín,Retiro,José C. Paz,11:00,12:55,183
422,Roca,Ezeiza,Temperley,13:30,14:05,184
423,Roca,Constitución,Ezeiza,13:15,13:47,689
424,San Martín,San Miguel,Pilar,06:15,07:13,375
425,San Martín,Pilar,San Miguel,05:00,05:20,687
426,Sarmiento,Castelar,Once,17:15,17:55,323
427,Belgrano Sur,Buenos Aires,Marinos del Crucero,13:30,14:42,652
428,Roca,Ezeiza,La Plata,21:45,22:37,739
429,Roca,Constitución,Ezeiza,20:15,20:45,644
430,San Martín,Pilar,José C. Paz,06:45,08:07,399
431,Belgrano Sur,González Catán,Buenos Aires,14:30,15:43,476
432,San Martín,Pilar,Retiro,11:15,11:39,560
433,Mitre,Victoria,Belgrano,07:30,08:12,727
434,Belgrano Sur,Marinos del Crucero,Buenos Aires,14:45,15:12,736
435,Sarmiento,Castelar,Moreno,11:00,12:41,170
436,Sarmiento,Moreno,Once,09:00,09:28,788
437,Belgrano Sur,Buenos Aires,González Catán,17:00,18:09,781
438,Sarmiento,Castelar,Merlo,08:15,09:50,325
439,San Martín,Retiro,San Miguel,09:00,10:47,538
440,Belgrano Sur,González Catán,Buenos Aires,22:00,22:49,599
441,Roca,Ezeiza,Temperley,10:15,11:47,799
442,Roca,Ezeiza,La Plata,15:45,16:44,489
443,San Martín,Pilar,José C. Paz,05:00,05:33,460
444,Mitre,Belgrano,Tigre,09:15,10:55,359
445,Mitre,Tigre,Victoria,22:00,23:19,593
446,Mitre,Tigre,Retiro,05:00,06:33,674
447,Sarmiento,Moreno,Castelar,08:30,10:15,391
448,Belgrano Sur,Marinos del Crucero,Buenos Aires,13:15,15:01,398
449,Mitre,Belgrano,Tigre,13:30,14:30,550
450,Belgrano Sur,González Catán,Marinos del Crucero,22:15,23:34,521
451,San Martín,Pilar,José C. Paz,06:30,07:39,591
452,Mitre,Victoria,Retiro,19:30,20:05,120
453,San Martín,Retiro,San Miguel,08:00,09:59,348
454,Roca,Ezeiza,Temperley,22:15,23:57,119
455,Belgrano Sur,Marinos del Crucero,Buenos Aires,20:00,21:38,422
456,Mitre,Victoria,Retiro,16:30,18:03,578
457,San Martín,José C. Paz,San Miguel,06:15,07:40,587
458,Belgrano Sur,Buenos Aires,González Catán,08:30,09:51,433
459,Belgrano Sur,González Catán,Marinos del Crucero,09:00,09:27,174
460,Sarmiento,Once,Moreno,08:30,09:45,148
461,Sarmiento,Castelar,Once,18:30,20:28,579
462,San Martín,San Miguel,José C. Paz,14:15,16:08,127
463,Roca,Ezeiza,La Plata,14:30,15:45,467
464,Belgrano Sur,Buenos Aires,González Catán,09:15,10:40,287
465,Roca,Constitución,Temperley,18:00,20:00,603
466,Roca,Constitución,Ezeiza,11:45,13:23,284
467,Sarmiento,Merlo,Once,16:45,18:40,717
468,San Martín,José C. Paz,San Miguel,14:00,14:27,706
469,San Martín,Retiro,Pilar,21:30,22:33,585
470,Roca,Temperley,La Plata,19:15,20:34,474
471,Sarmiento,Castelar,Merlo,15:45,17:27,221
472,San Martín,Retiro,San Miguel,08:45,09:45,207
473,Sarmiento,Moreno,Merlo,09:30,11:16,251
